loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2025-01-19T19:42:51.832+08:00,176,1309840.173,1.650370315568368,-0.055679917,0.04701386827578762,0.03070823848247528,0.00821410957723856,-0.025211409,0.01014907658100128,0.01379337906837463,-0.003339589,XArbitraryCorrectedZVertical,0.03638493021241827,-0.00161792,0.7337419489331233,0.6784515140048938,-0.055589661,-0.046996552,-0.997347057,43.64090728759766,1.715526580810547,-20.81715393,-1,2
2025-01-19T19:42:51.862+08:00,177,1309840.203,1.649616645071003,-0.056547208,0.04771290172302023,0.005832606926560402,-0.043117184,-0.030925045,0.006754979491233826,0.01440008357167244,0.001843094825744629,XArbitraryCorrectedZVertical,0.03693927127397057,-0.001669282,0.7334576043597542,0.6787288079234229,-0.056452759,-0.047694802,-0.997265399,43.68034362792969,1.489234924316406,-20.93258667,-1,2
2025-01-19T19:42:51.892+08:00,178,1309840.234,1.648729886584187,-0.057423837,0.04746459902822411,-0.004805353,-0.024044922,-0.021551732,0.004044048488140106,0.009360793977975845,0.0001417398452758789,XArbitraryCorrectedZVertical,0.03717569790598983,-0.002074433,0.7331449213241066,0.6790524649006533,-0.057327647,-0.04744678,-0.997227311,44.291748046875,1.233541488647461,-20.98301697,-1,2
2025-01-19T19:42:51.932+08:00,179,1309840.264,1.64835851163476,-0.058040087,0.04750090098905387,0.002828133059665561,-0.025932148,-0.001635682,0.00417020171880722,0.008801966905593872,0.002515435218811035,XArbitraryCorrectedZVertical,0.03741348119814186,-0.002277289,0.733006654089067,0.6791880119442555,-0.057942078,-0.047483038,-0.997190118,45.16506195068359,1.423124313354492,-21.43881226,-1,2
2025-01-19T19:42:51.953+08:00,180,1309840.294,1.648420987261694,-0.058807858,0.04738208499936918,0.003521036822348833,-0.012831133,-0.00026535,-0.004539583,0.01323040202260017,0.004780352115631104,XArbitraryCorrectedZVertical,0.03765465941219995,-0.002580447,0.7330156762611016,0.6791639382382649,-0.058708005,-0.047364358,-0.997150958,46.05120086669922,0.9615268707275391,-21.792099,-1,2
2025-01-19T19:42:51.983+08:00,181,1309840.324,1.648201502545139,-0.058647931,0.04756123946840968,0.006575815845280886,0.01983418315649033,-0.014638973,-0.004257046,0.01055596396327019,0.01920080184936523,XArbitraryCorrectedZVertical,0.03765652206502267,-0.002464523,0.732940802222337,0.67924501362365,-0.058548033,-0.04754331,-0.997151852,46.1221923828125,1.315526962280273,-21.31285095,-1,2
2025-01-19T19:42:52.014+08:00,182,1309840.355,1.647726965194495,-0.057788124,0.04792860042160466,0.01583094894886017,0.01158391311764717,-0.019653697,0.004146642982959747,0.01865910738706589,0.01053571701049805,XArbitraryCorrectedZVertical,0.03746551714064411,-0.002046603,0.7327889212929255,0.6794208781299519,-0.057689641,-0.047910254,-0.997184277,45.80089950561523,1.359977722167969,-21.47807312,-1,2
2025-01-19T19:42:52.051+08:00,183,1309840.385,1.647182009780984,-0.057218601,0.04817871950373042,-0.000161055,0.03537074476480484,-0.022088535,0.006065215915441513,0.01308008283376694,0.009289979934692383,XArbitraryCorrectedZVertical,0.03734120791016356,-0.001771544,0.7326097699522133,0.6796216053664353,-0.057121027,-0.048160084,-0.997205019,45.63059997558594,1.375209808349609,-21.34255981,-1,2
2025-01-19T19:42:52.074+08:00,184,1309840.415,1.64653659035982,-0.056195821,0.04820912694077734,0.01501371711492538,0.01665235310792923,-0.019673463,0.001657728105783463,0.0119813047349453,-0.006309092,XArbitraryCorrectedZVertical,0.03697641566440926,-0.00142477,0.7324088492296037,0.679858801739224,-0.056100994,-0.048190456,-0.997261405,45.35132598876953,1.21607780456543,-21.79956055,-1,2
2025-01-19T19:42:52.104+08:00,185,1309840.445,1.646146789832529,-0.056171975,0.04854215095064628,-0.001361271,-0.011682089,-0.00802515,0.003464099019765854,0.00999460369348526,-0.001166403,XArbitraryCorrectedZVertical,0.03708046542256932,-0.001301786,0.7322706462215307,0.680002368397905,-0.056076307,-0.048523091,-0.997246683,45.38520050048828,1.365753173828125,-21.7046051,-1,2
2025-01-19T19:42:52.134+08:00,186,1309840.475,1.646058474017319,-0.056708599,0.04841436598737895,0.01511313021183014,-0.018304665,0.001751878065988421,0.004686232656240463,0.01868654787540436,-0.007629633,XArbitraryCorrectedZVertical,0.03723349362004928,-0.001532726,0.7322330045443203,0.6800339467052139,-0.056611795,-0.048395455,-0.997222662,45.03815460205078,1.377649307250977,-21.28277588,-1,2
2025-01-19T19:42:52.172+08:00,187,1309840.506,1.645823191099693,-0.056801445,0.04887734756514184,-0.000208563,0.0202680341899395,-0.017587023,-0.002165206,0.01873699575662613,0.006029725074768066,XArbitraryCorrectedZVertical,0.03742450651591115,-0.001398979,0.7321426785992993,0.6801210940966117,-0.056703106,-0.04885789,-0.997194886,44.69873047,1.245021820068359,-21.86436462,-1,2
2025-01-19T19:42:52.195+08:00,188,1309840.536,1.645131351855055,-0.056294125,0.04839008723447502,-0.020881105,0.007170055992901325,-0.021732131,0.004517111927270889,0.01303180679678917,0.004861354827880859,XArbitraryCorrectedZVertical,0.03707284961390397,-0.001417884,0.7319258381340522,0.6803736058935504,-0.056198534,-0.048371203,-0.997247159,44.99139404296875,1.4219970703125,-21.4127655,-1,2
2025-01-19T19:42:52.225+08:00,189,1309840.566,1.644495553239326,-0.056363116,0.04768193326216219,-0.009160658,-0.02326512,-0.012915272,0.01098126173019409,0.01150049269199371,0.001702308654785156,XArbitraryCorrectedZVertical,0.03685700187928183,-0.001712557,0.7317212478906417,0.6806046849393829,-0.056269251,-0.047663867,-0.99727726,44.70299530029297,1.564693450927734,-21.68942261,-1,2
2025-01-19T19:42:52.255+08:00,190,1309840.596,1.644171825701273,-0.056394001,0.04736713846776485,-0.001741902,0.02039686217904091,-0.009296396,0.007640715688467026,0.009858541190624237,0.004340052604675293,XArbitraryCorrectedZVertical,0.03676103409380109,-0.001844332,0.7316162601500631,0.6807223336110416,-0.056300897,-0.047349427,-0.997290432,44.81974792480469,1.540399551391602,-21.58198547,-1,2
2025-01-19T19:42:52.291+08:00,191,1309840.627,1.643700286109923,-0.056180282,0.04734218116197434,0.005786310881376266,-0.011746438,-0.020170705,-0.002124365,0.01155785098671913,0.002049148082733154,XArbitraryCorrectedZVertical,0.03667395120547221,-0.001789376,0.731460123697702,0.6808949141025482,-0.056087822,-0.047324497,-0.997303665,44.89433288574219,1.542964935302734,-21.64582825,-1,2
2025-01-19T19:42:52.316+08:00,192,1309840.657,1.642930204822146,-0.056447101,0.04700719427810346,-0.029266199,-0.00481022,-0.030741055,0.001850511878728867,0.01265756785869598,0.009541988372802734,XArbitraryCorrectedZVertical,0.03665687833033212,-0.002016995,0.7311991083136806,0.6811754987977674,-0.05635481,-0.046989884,-0.99730444,44.68648529052734,1.678949356079102,-21.25968933,-1,2
2025-01-19T19:42:52.346+08:00,193,1309840.687,1.64179510857916,-0.056036324,0.04579357894258067,-0.028553564,0.00870582927018404,-0.03608904,0.00612843781709671,0.01248285546898842,-0.002723098,XArbitraryCorrectedZVertical,0.0360926080978339,-0.002341822,0.7308417867229033,0.6815880154593303,-0.055948287,-0.045777574,-0.997383654,44.61892700195312,1.44378662109375,-21.14175415,-1,2
2025-01-19T19:42:52.376+08:00,194,1309840.717,1.641001267007794,-0.05634094,0.04532946528771228,0.005057525355368853,-0.031975068,-0.018946141,0.01043124869465828,0.01198870316147804,-0.01613158,XArbitraryCorrectedZVertical,0.03604493354022221,-0.002629738,0.7305740040766645,0.6818764026401362,-0.056253295,-0.045313943,-0.997387707,44.94498443603516,1.855226516723633,-21.38340759,-1,2
